cmd,conds,short,long,params,dirs,pri,desc
swaymsg, , , , ,@f,101, 
Show help message and quit., ,h,help, , ,102, 
Monitor subscribed events until killed., ,m,monitor, , ,103, 
Use pretty output even when not using a tty., ,p,pretty, , ,104, 
Sends the IPC message but does not print the response from sway., ,q,quiet, , ,105, 
Use raw output even if using tty., ,r,raw, , ,106, 
Print the version (of swaymsg) and quit., ,v,version, , ,108, 
Specify the type of IPC message., ,t,type, ,@f,109, 
Gets a JSON-encoded list of workspaces and their status., ,t,type,get_workspaces, ,110, 
Gets a JSON-encoded list of current inputs., ,t,type,get_inputs, ,111, 
Gets a JSON-encoded list of current outputs., ,t,type,get_outputs, ,112, 
Gets a JSON-encoded layout tree of all open windows, containers, outputs, workspaces, and so on., ,t,type,get_tree, ,113, 
Get a JSON-encoded list of marks., ,t,type,get_marks, ,114, 
Get a JSON-encoded configuration for swaybar., ,t,type,get_bar_config, ,115, 
Get JSON-encoded version information for the running instance of sway., ,t,type,get_version, ,116, 
Gets a JSON-encoded list of currently configured binding modes., ,t,type,get_binding_modes, ,117, 
Get JSON-encoded info about the current binding state., ,t,type,get_binding_state, ,118, 
Gets a JSON-encoded copy of the current configuration., ,t,type,get_config, ,119, 
Gets a JSON-encoded list of all seats, its properties and all assigned devices., ,t,type,get_seats, ,120, 
Sends a tick event to all subscribed clients., ,t,type,send_tick, ,121, 
Subscribe to a list of event types., ,t,type,subscribe, ,122, 
