cmd,conds,short,long,params,dirs,pri,desc
h2xs.1perl, ,A,omit-autoload, , ,101,"X Item '-A, --omit-autoload' Omit all autoload facilities"
h2xs.1perl, ,B,beta-version, , ,102,"X Item '-B, --beta-version' Use an alpha/beta style version number"
h2xs.1perl, ,C,omit-changes, , ,103,"X Item '-C, --omit-changes' Omits creation of the Changes file, and adds a HI…"
h2xs.1perl, ,F,cpp-flags, , ,104,"X Item '-F, --cpp-flags=addflags' Additional flags to specify to C preprocess…"
h2xs.1perl, ,M,func-mask, , ,105,"X Item '-M, --func-mask=regular expression' selects functions/macros to proce…"
h2xs.1perl, ,O,overwrite-ok, , ,106,"X Item '-O, --overwrite-ok' Allows a pre-existing extension directory to be o…"
h2xs.1perl, ,P,omit-pod, , ,107,"X Item '-P, --omit-pod' Omit the autogenerated stub POD section"
h2xs.1perl, ,X,omit-XS, , ,108,"X Item '-X, --omit-XS' Omit the XS portion"
h2xs.1perl, ,a,gen-accessors, , ,109,"X Item '-a, --gen-accessors' Generate an accessor method for each element of …"
h2xs.1perl, ,b,compat-version, , ,110,"X Item '-b, --compat-version=version' Generates a "
h2xs.1perl, ,c,omit-constant, , ,111,"X Item '-c, --omit-constant' Omit \\f(CWconstant() from the "
h2xs.1perl, ,d,debugging, , ,112,"X Item '-d, --debugging' Turn on debugging messages"
h2xs.1perl, ,e,omit-enums, , ,113,"X Item '-e, --omit-enums=[regular expression]' If regular expression is not g…"
h2xs.1perl, ,f,force, , ,114,"X Item '-f, --force' Allows an extension to be created for a header even if t…"
h2xs.1perl, ,g,global, , ,115,"X Item '-g, --global' Include code for safely storing static data in the "
h2xs.1perl, ,?,help, , ,116,"X Item '-h, -?, --help' Print the usage, help and version for this h2xs and e…"
h2xs.1perl, ,k,omit-const-func, , ,117,"X Item '-k, --omit-const-func' For function arguments declared as \\f(CW\\*(C`c…"
h2xs.1perl, ,m,gen-tied-var, , ,118,"X Item '-m, --gen-tied-var' Experimental: for each variable declared in the h…"
h2xs.1perl, ,n,name, , ,119,"X Item '-n, --name=module_name' Specifies a name to be used for the extension…"
h2xs.1perl, ,o,opaque-re, , ,120,"X Item '-o, --opaque-re=regular expression' Use 'opaque' data type for the C …"
h2xs.1perl, ,p,remove-prefix, , ,121,"X Item '-p, --remove-prefix=prefix' Specify a prefix which should be removed …"
h2xs.1perl, ,s,const-subs, , ,122,"X Item '-s, --const-subs=sub1,sub2' Create a perl subroutine for the specifie…"
h2xs.1perl, ,t,default-type, , ,123,"X Item '-t, --default-type=type' Specify the internal type that the constant(…"
h2xs.1perl, , ,use-new-tests, , ,124,X Item '--use-new-tests' When --compat-version (-b) is present the generated …
h2xs.1perl, , ,use-old-tests, , ,125,X Item '--use-old-tests' Will force the generation of test code that uses the…
h2xs.1perl, , ,skip-exporter, , ,126,X Item '--skip-exporter' Do not use \\f(CW\\*(C`Exporter\\*(C' and/or export any…
h2xs.1perl, , ,skip-ppport, , ,127,X Item '--skip-ppport' Do not use \\f(CW\\*(C`Devel::PPPort\\*(C': no portabilit…
h2xs.1perl, , ,skip-autoloader, , ,128,"X Item '--skip-autoloader' Do not use the module \\f(CW\\*(C`AutoLoader\\*(C'; b…"
h2xs.1perl, , ,skip-strict, , ,129,X Item '--skip-strict' Do not use the pragma \\f(CW\\*(C`strict\\*(C'
h2xs.1perl, , ,skip-warnings, , ,130,X Item '--skip-warnings' Do not use the pragma \\f(CW\\*(C`warnings\\*(C'
h2xs.1perl, ,v,version, , ,131,"X Item '-v, --version=version' Specify a version number for this extension"
h2xs.1perl, ,x,autogen-xsubs, , ,132, 
