cmd,conds,short,long,params,dirs,pri,desc
node, , ,abort-on-uncaught-exception, , ,101,Aborting instead of exiting causes a core file to be generated for analysis
node, , ,allow-fs-read, , ,102,Allow file system read access when using the permission model
node, , ,allow-fs-write, , ,103,Allow file system write access when using the permission model
node, , ,allow-addons, , ,104,Allow using native addons when using the permission model
node, , ,allow-child-process, , ,105,Allow spawning process when using the permission model
node, , ,allow-wasi, , ,106,Allow execution of WASI when using the permission model
node, , ,allow-worker, , ,107,Allow creating worker threads when using the permission model
node, , ,completion-bash, , ,108,Print source-able bash completion script for Node. js
node, , ,cpu-prof, , ,109,"Start the V8 CPU profiler on start up, and write the CPU profile to disk befo…"
node, , ,cpu-prof-dir, , ,110,The directory where the CPU profiles generated by -cpu-prof will be placed
node, , ,cpu-prof-interval, , ,111,The sampling interval in microseconds for the CPU profiles generated by -cpu-…
node, , ,cpu-prof-name, , ,112,File name of the V8 CPU profile generated with -cpu-prof
node, , ,diagnostic-dir, , ,113,Set the directory for all diagnostic output files
node, , ,disable-proto, , ,114,Disable the `Object. prototype. __proto__` property
node, , ,disable-wasm-trap-handler, , ,115,Disable trap-handler-based WebAssembly bound checks and fall back to inline b…
node, , ,disallow-code-generation-from-strings, , ,116,Make built-in language features like `eval` and `new Function` that generate …
node, , ,enable-fips, , ,117,Enable FIPS-compliant crypto at startup.  Requires Node. js to be built with 
node, , ,enable-source-maps, , ,118,Enable Source Map V3 support for stack traces
node, , ,experimental-default-type, , ,119,"Interpret as either ES modules or CommonJS modules input via --eval or STDIN,…"
node, , ,experimental-import-meta-resolve, , ,120,Enable experimental ES modules support for import. meta. resolve()
node, , ,experimental-loader, , ,121,Specify the module to use as a custom module loader
node, , ,experimental-network-imports, , ,122,Enable experimental support for loading modules using `import` over `https:`
node, , ,experimental-permission, , ,123,Enable the experimental permission model
node, , ,experimental-policy, , ,124,Use the specified file as a security policy
node, , ,experimental-shadow-realm, , ,125,Use this flag to enable ShadowRealm support
node, , ,experimental-test-coverage, , ,126,Enable code coverage in the test runner
node, , ,experimental-test-module-mocks, , ,127,Enable module mocking in the test runner
node, , ,experimental-eventsource, , ,128,Enable experimental support for the EventSource Web API
node, , ,experimental-websocket, , ,129,Enable experimental support for the WebSocket API
node, , ,no-experimental-fetch, , ,130,Disable experimental support for the Fetch API
node, , ,no-experimental-global-customevent, , ,131,Disable exposition of the CustomEvent on the global scope
node, , ,no-experimental-global-webcrypto, , ,132,Disable exposition of the Web Crypto API on the global scope
node, , ,no-experimental-repl-await, , ,133,Disable top-level await keyword support in REPL
node, , ,experimental-vm-modules, , ,134,Enable experimental ES module support in VM module
node, , ,experimental-wasi-unstable-preview1, , ,135,Enable experimental WebAssembly System Interface support
node, , ,experimental-wasm-modules, , ,136,Enable experimental WebAssembly module support
node, , ,force-context-aware, , ,137,Disable loading native addons that are not context-aware
node, , ,force-fips, , ,138,Force FIPS-compliant crypto on startup (Cannot be disabled from script code)
node, , ,frozen-intrinsics, , ,139,Enable experimental frozen intrinsics support
node, , ,heapsnapshot-near-heap-limit, , ,140,Generate heap snapshot when the V8 heap usage is approaching the heap limit
node, , ,heapsnapshot-signal, , ,141,Generate heap snapshot on specified signal
node, , ,heap-prof, , ,142,"Start the V8 heap profiler on start up, and write the heap profile to disk be…"
node, , ,heap-prof-dir, , ,143,The directory where the heap profiles generated by -heap-prof will be placed
node, , ,heap-prof-interval, , ,144,The average sampling interval in bytes for the heap profiles generated by -he…
node, , ,heap-prof-name, , ,145,File name of the V8 heap profile generated with -heap-prof
node, , ,icu-data-dir, , ,146,Specify ICU data load path.  Overrides NODE_ICU_DATA
node, , ,input-type, , ,147,"Set the module resolution type for input via --eval, --print or STDIN"
node, , ,inspect-brk, , ,148,Activate inspector on host:port and break at start of user script
node, , ,inspect-port, , ,149,Set the host:port to be used when the inspector is activated
node, , ,inspect-publish-uid, , ,150,Specify how the inspector WebSocket URL is exposed
node, , ,inspect-wait, , ,151,Activate inspector on host:port and wait for debugger to be attached
node, , ,inspect, , ,152,Activate inspector on host:port.  Default is 127. 0. 0. 1:9229
node, , ,insecure-http-parser, , ,153,Use an insecure HTTP parser that accepts invalid HTTP headers
node, , ,jitless, , ,154,Disable runtime allocation of executable memory
node, , ,max-http-header-size, , ,155,Specify the maximum size of HTTP headers in bytes.  Defaults to 16 KiB
node, , ,napi-modules, , ,156,This option is a no-op.  It is kept for compatibility
node, , ,no-deprecation, , ,157,Silence deprecation warnings
node, , ,no-extra-info-on-fatal-exception, , ,158,Hide extra information on fatal exception that causes exit
node, , ,no-force-async-hooks-checks, , ,159,Disable runtime checks for `async_hooks`
node, , ,no-addons, , ,160,Disable the `node-addons` exports condition as well as disable loading native…
node, , ,no-global-search-paths, , ,161,Do not search modules from global paths
node, , ,no-warnings, , ,162,Silence all process warnings (including deprecations)
node, , ,node-memory-debug, , ,163,Enable extra debug checks for memory leaks in Node. js internals
node, , ,openssl-config, , ,164,Load an OpenSSL configuration file on startup
node, , ,pending-deprecation, , ,165,Emit pending deprecation warnings
node, , ,policy-integrity, , ,166,Instructs Node
node, , ,preserve-symlinks, , ,167,Instructs the module loader to preserve symbolic links when resolving and cac…
node, , ,preserve-symlinks-main, , ,168,Instructs the module loader to preserve symbolic links when resolving and cac…
node, , ,prof, , ,169,Generate V8 profiler output
node, , ,prof-process, , ,170,Process V8 profiler output generated using the V8 option -prof
node, , ,redirect-warnings, , ,171,Write process warnings to the given file instead of printing to stderr
node, , ,report-compact, , ,172,"Write diagnostic reports in a compact format, single-line JSON"
node, , ,report-dir, , ,173,Location at which the diagnostic report will be generated
node, , ,report-filename, , ,174,Name of the file to which the diagnostic report will be written
node, , ,report-on-fatalerror, , ,175,Enables the diagnostic report to be triggered on fatal errors (internal error…
node, , ,report-on-signal, , ,176,Enables diagnostic report to be generated upon receiving the specified (or pr…
node, , ,report-signal, , ,177,Sets or resets the signal for diagnostic report generation (not supported on …
node, , ,report-uncaught-exception, , ,178,Enables diagnostic report to be generated on un-caught exceptions
node, , ,secure-heap, , ,179,Specify the size of the OpenSSL secure heap
node, , ,secure-heap-min, , ,180,Specify the minimum allocation from the OpenSSL secure heap
node, , ,test, , ,181,Starts the Node. js command line test runner
node, , ,test-concurrency, , ,182,The maximum number of test files that the test runner CLI will execute concur…
node, , ,test-force-exit, , ,183,Configures the test runner to exit the process once all known tests have fini…
node, , ,test-name-pattern, , ,184,A regular expression that configures the test runner to only execute tests wh…
node, , ,test-reporter, , ,185,A test reporter to use when running tests
node, , ,test-reporter-destination, , ,186,The destination for the corresponding test reporter
node, , ,test-only, , ,187,Configures the test runner to only execute top level tests that have the `onl…
node, , ,test-shard, , ,188,Test suite shard to execute in a format of <index>/<total>
node, , ,test-timeout, , ,189,A number of milliseconds the test execution will fail after
node, , ,throw-deprecation, , ,190,Throw errors for deprecations
node, , ,title, , ,191,Specify process. title on startup
node, , ,tls-cipher-list, , ,192,Specify an alternative default TLS cipher list.  Requires Node
node, , ,tls-keylog, , ,193,Log TLS key material to a file
node, , ,tls-max-v1.2, , ,194,Set default  maxVersion to 'TLSv1. 2'.  Use to disable support for TLSv1. 3
node, , ,tls-max-v1.3, , ,195,Set default  maxVersion to 'TLSv1. 3'.  Use to enable support for TLSv1. 3
node, , ,tls-min-v1.0, , ,196,Set default minVersion to 'TLSv1'
node, , ,tls-min-v1.1, , ,197,Set default minVersion to 'TLSv1. 1'
node, , ,tls-min-v1.2, , ,198,Set default minVersion to 'TLSv1. 2'.  This is the default for 12
node, , ,tls-min-v1.3, , ,199,Set default minVersion to 'TLSv1. 3'.  Use to disable support for TLSv1
node, , ,trace-atomics-wait, , ,200,Print short summaries of calls to Atomics. wait().  This flag is deprecated
node, , ,trace-deprecation, , ,201,Print stack traces for deprecations
node, , ,trace-event-categories, , ,202,A comma-separated list of categories that should be traced when trace event t…
node, , ,trace-event-file-pattern, , ,203,"Template string specifying the filepath for the trace event data, it supports…"
node, , ,trace-events-enabled, , ,204,Enable the collection of trace event tracing information
node, , ,trace-exit, , ,205,"Prints a stack trace whenever an environment is exited proactively, i. e"
node, , ,trace-sigint, , ,206,Prints a stack trace on SIGINT
node, , ,trace-sync-io, , ,207,Print a stack trace whenever synchronous I/O is detected after the first turn…
node, , ,trace-tls, , ,208,Prints TLS packet trace information to stderr
node, , ,trace-uncaught, , ,209,"Print stack traces for uncaught exceptions; usually, the stack trace associat…"
node, , ,trace-warnings, , ,210,Print stack traces for process warnings (including deprecations)
node, , ,track-heap-objects, , ,211,Track heap object allocations for heap snapshots
node, , ,unhandled-rejections, , ,212,Define the behavior for unhandled rejections
node, , ,use-bundled-ca, , ,213,Use bundled Mozilla CA store as supplied by current Node
node, , ,use-largepages, , ,214,Re-map the Node. js static code to large memory pages at startup
